0.95,1.02,1.66,2.37,3.08,3.80
1.85,1.92,2.56,3.27,3.99,4.70
2.75,2.82,3.46,4.18,4.89,5.60
3.66,3.73,4.37,5.08,5.79,6.50
4.56,4.63,5.27,5.98,6.69,7.40
